city,latitude,longitude,country,population
Nairobi,-1.2864,36.8172,Kenya,4397073
Kimunyu,-1.05,37,Kenya,4383743
Kagira,-0.85,37.03,Kenya,4383743
Urumqi,43.8225,87.6125,China,4335018
Shantou,23.3539,116.6822,China,4312192
Yantai,37.4644,121.4478,China,4233100
Bamako,12.6458,-7.9922,Mali,4227569
Kano,12.0022,8.592,Nigeria,4224966
Fortaleza,-3.7275,-38.5275,Brazil,4167996
Hanoi,21.0245,105.8412,Vietnam,4138510
Phoenix,33.5722,-112.0892,United States,4121103
Fuzhou,26.0769,119.2917,China,4094491
Amman,31.95,35.9333,Jordan,4007526
Douala,4.05,9.7,Cameroon,3987298
Hangzhou,30.25,120.1675,China,3961700
Casablanca,33.5992,-7.62,Morocco,3950000
Nanchang,28.6842,115.8872,China,3929660
Deyang,31.1289,104.395,China,3877000
Xiamen,24.4797,118.0819,China,3866555
Ibadan,7.3775,3.9058,Nigeria,3861000
Taichung,24.1439,120.6794,Taiwan,3799301
Detroit,42.3834,-83.1024,United States,3773725
Abuja,9.0556,7.4914,Nigeria,3770000
Nantong,31.9829,120.8873,China,3766534
Yokohama,35.4333,139.65,Japan,3757630
Montreal,45.5089,-73.5617,Canada,3675219
Linyi,35.1041,118.3502,China,3651868
Seattle,47.6211,-122.3244,United States,3642006
Medan,3.5894,98.6739,Indonesia,3632000
Yulinshi,38.2655,109.7388,China,3624750
Changzhou,31.8122,119.9692,China,3601079
Tongshan,34.261,117.1859,China,3589215
Hechi,24.6928,108.085,China,3545700
Cologne,50.9422,6.9578,Germany,3500000
Vadodara,22.3,73.2,India,3500000
Huizhou,23.1115,114.4152,China,3494715
Zibo,36.7831,118.0497,China,3493664
Kumasi,6.7,-1.625,Ghana,3490030
Lanzhou,36.0617,103.8318,China,3474858
Nadampalaiyam,11.1793,77.376,India,3458045
Busan,35.18,129.075,"Korea, South",3453198
San Francisco,37.7558,-122.4449,United States,3417736
Lucknow,26.847,80.947,India,3382000
Lembok,-8.6312,116.3176,Indonesia,3352988
Boankra,6.4167,0.0833,Ghana,3348000
Baojishi,34.3609,107.1751,China,3321853
Mashhad,36.2975,59.6059,Iran,3317381
Tongren,27.7233,109.1885,China,3298468
Suining,30.5098,105.5737,China,3252619
Kannankulam,10.4799,76.1131,India,3243170
Casablanca,-33.3167,-71.4167,Chile,3218036
Faisalabad,31.418,73.079,Pakistan,3203846
Mahuakheraganj,29.13,78.95,India,3198982
Nagla,29.01,79.51,India,3198982
Guayaquil,-2.19,-79.8875,Ecuador,3094420
Quezon City,14.65,121.0475,Philippines,3084270
Jaipur,26.915,75.82,India,3073350
Taizhou,32.4831,119.9,China,3071179
Budapest,47.4983,19.0408,Hungary,3067751
San Diego,32.8313,-117.1222,United States,3064435
Ouagadougou,12.3686,-1.5275,Burkina Faso,3063271
Athens,37.9842,23.7281,Greece,3059764
Incheon,37.4639,126.6486,"Korea, South",3049315
Algiers,36.7764,3.0586,Algeria,3004000
Brasilia,-15.7939,-47.8828,Brazil,2996899
Kuwait City,29.375,47.98,Kuwait,2989000
Tampa,27.9945,-82.4447,United States,2957531
Sanaa,15.35,44.2,Yemen,2957000
Kyiv,50.45,30.5236,Ukraine,2952301
Kottarassheri,10.6167,76.5333,India,2952254
Minneapolis,44.9635,-93.2678,United States,2937866
Cali,3.44,-76.5197,Colombia,2916790
Port-au-Prince,18.5469,-72.3403,Haiti,2914190
Mbuji-Mayi,-6.1209,23.5967,Congo (Kinshasa),2892000
Pyongyang,39.0167,125.7475,"Korea, North",2863000
Handan,36.6116,114.4894,China,2845790
Huai'an,33.5886,119.0192,China,2829864
San Luis Potosi,22.1497,-100.975,Mexico,2822255
Brazzaville,-4.2694,15.2711,Congo (Brazzaville),2813480
Omdurman,15.6835,32.4629,Sudan,2805396
Stuttgart,48.7775,9.18,Germany,2787727
Rome,41.8931,12.4828,Italy,2748109
Zabrze,50.3,18.7833,Poland,2746000
Swietochlowice,50.2855,18.9309,Poland,2746000
Sosnowiec,50.3,19.1667,Poland,2746000
Radzionkow Nowy,50.4016,18.901,Poland,2746000
Pyskowice,50.3981,18.6275,Poland,2746000
Ruda Slaska,50.3117,18.8514,Poland,2746000
Orzesze,50.1439,18.7756,Poland,2746000
Mikolow,50.1708,18.9039,Poland,2746000
Laziska Gorne,50.1494,18.8419,Poland,2746000
Knurow,50.2167,18.6833,Poland,2746000
Imielin,50.1478,19.1814,Poland,2746000
Gliwice,50.2942,18.6658,Poland,2746000
Chorzow,50.2884,18.9628,Poland,2746000
Czeladz,50.3333,19.0833,Poland,2746000
Dabrowa Gornicza,50.3339,19.2047,Poland,2746000
Bierun,50.0911,19.091,Poland,2746000
Brooklyn,40.6501,-73.9496,United States,2736074
Kaohsiung,22.615,120.2975,Taiwan,2733964
Teresina,-5.0903,-42.8167,Brazil,2729527
Zhangjiakou,40.8108,114.8811,China,2722683
Denver,39.762,-104.8758,United States,2714768
Bytom,50.347,18.923,Poland,2710397
Brisbane,-27.4678,153.0278,Australia,2706966
Myslowice,50.2119,19.1478,Poland,2700000
Damascus,33.5131,36.2919,Syria,2685360
Hohhot,40.8151,111.6629,China,2681758
Gazipura,23.9889,90.375,Bangladesh,2677715
Attadappa,11.85,75.4167,India,2615266
Munich,48.1375,11.575,Germany,2606021
Gulou,26.0865,119.298,China,2606000
Birmingham,52.48,-1.9025,United Kingdom,2590363
Ganzhou,25.8292,114.9336,China,2588060
Tashkent,41.3111,69.2797,Uzbekistan,2575431
Yinchuan,38.485,106.225,China,2564918
Xiaoxita,30.7083,111.2803,China,2562000
Maoming,21.6618,110.9178,China,2539148
Barmhan Kalan,23.0333,79.0167,India,2537000
Liuzhou,24.3264,109.4281,China,2519051
Weifang,36.7167,119.1,China,2511721
Gorakhpur,22.1688,81.6042,India,2500000
Hamburg,53.55,10,Germany,2496600
Medellin,6.2502,-75.5676,Colombia,2490164
Guangyuan,32.4353,105.8398,China,2484122
Toluca,19.2922,-99.6539,Mexico,2476689
Lusaka,-15.4167,28.2833,Zambia,2467563
Daegu,35.8717,128.6017,"Korea, South",2444412
Taipei,25.0375,121.5625,Taiwan,2442991
Yaounde,3.8578,11.5181,Cameroon,2440462
Zhuhai,22.2742,113.5719,China,2439585
Baoshan,25.1211,99.169,China,2431211
Mecca,21.4225,39.8261,Saudi Arabia,2427924
Vancouver,49.25,-123.1,Canada,2426160
Lianshan,40.7643,120.8533,China,2426000
Beirut,33.8869,35.5131,Lebanon,2421354
Salvador,-12.9831,-38.4928,Brazil,2417678
Bucharest,44.4134,26.0978,Romania,2412530
Nagpur,21.1497,79.0806,India,2405665
Queens,40.7498,-73.7976,United States,2405464
Bekasi,-6.2333,107,Indonesia,2381053
Yancheng,33.35,120.1569,China,2379194
Guwahati,26.1806,91.7502,India,2376654
Ghaziabad,28.6667,77.4167,India,2375820
Zunyi,27.705,106.9336,China,2360549
Riverside,33.9381,-117.3949,United States,2333040
Depok,-6.405,106.8173,Indonesia,2330333
Colombo,6.9267,79.8606,Sri Lanka,2323826
Xiangyang,32.0654,112.1531,China,2319640
Frankfurt,50.1106,8.6822,Germany,2319029
Putian,25.4394,119.0103,China,2305646
Akrofuom,6.1208,-1.6536,Ghana,2305046
Manaus,-3.1189,-60.0217,Brazil,2303732
Baku,40.3667,49.8352,Azerbaijan,2300500
Antananarivo,-18.91,47.525,Madagascar,2300000
Las Vegas,36.2333,-115.2654,United States,2299189
Fukuoka,33.5901,130.4017,Japan,2286000
Baotou,40.6562,109.8345,China,2283700
Yan'an,36.5952,109.4863,China,2282581
Zaozhuang,34.8667,117.55,China,2280953
Changping,40.2197,116.2255,China,2269487
Lincang,23.8864,100.0871,China,2257991
Haikou,20.02,110.32,China,2250000
Yuxi,24.3495,102.5432,China,2249502
Luoyang,34.6587,112.4245,China,2249300
Caracas,10.5061,-66.9144,Venezuela,2245744
Tangerang,-6.1703,106.6403,Indonesia,2237006
Laibin,23.7333,109.2333,China,2233900
Mianyang,31.4669,104.7385,China,2232865
Almaty,43.24,76.915,Kazakhstan,2228675
Vienna,48.2083,16.3725,Austria,2223236
Esfahan,32.6525,51.675,Iran,2219343
Xinpu,34.5906,119.1801,China,2214611
Jiujiang,29.7048,116.0021,China,2213000
Baltimore,39.3051,-76.6144,United States,2201673
Lome,6.13,1.2158,Togo,2188376
Campinas,-22.9009,-47.0573,Brazil,2184952
Gaoping,30.7758,106.1029,China,2174000
Awka,6.2,7.0667,Nigeria,2171900
Yibin,28.7596,104.64,China,2158312
Wuhu,31.334,118.3622,China,2151368
Havana,23.1367,-82.3589,Cuba,2146237
Perth,-31.9558,115.8597,Australia,2141834
Coimbatore,11.0008,76.9633,India,2136916
St. Louis,38.6359,-90.2451,United States,2129918
Phnom Penh,11.5696,104.921,Cambodia,2129371
Fuyang,32.8986,115.8045,China,2128538
Ningbo,29.875,121.5492,China,2125500
Mogadishu,2.0392,45.3419,Somalia,2120000
Puning,23.2993,116.1586,China,2118200
Portland,45.5371,-122.65,United States,2115140
Kowloon,22.3167,114.1833,Hong Kong,2108419
Panama City,8.9711,-79.5347,Panama,2100189
Zamboanga City,6.9042,122.0761,Philippines,2100000
Chongzuo,22.4167,107.3667,China,2099400
Rawalpindi,33.6007,73.0679,Pakistan,2098231
San Antonio,29.4632,-98.5238,United States,2096390
Nanyang,32.9987,112.5292,China,2085680
Shangrao,28.4419,117.9633,China,2068763
Pingliang,35.5412,106.6819,China,2068033
La Paz,-16.4958,-68.1333,Bolivia,2063633
Qingyang,24.8141,118.5792,China,2061600
Patna,25.61,85.1414,India,2046652
Rajkot,22.2969,70.7984,India,2043000
Vishakhapatnam,17.6939,83.2922,India,2035922
Warsaw,52.23,21.0111,Poland,2028000
Gujranwala,32.15,74.1833,Pakistan,2027001
Aleppo,36.2,37.16,Syria,2003671
Tijuana,32.5364,-117.0372,Mexico,2002000
Minsk,53.9022,27.5618,Belarus,1995091
Indore,22.7186,75.855,India,1994397
Katowice,50.25,19,Poland,1991000
Sacramento,38.5677,-121.4685,United States,1975489
Karaj,35.8328,50.9917,Iran,1973470
Peshawar,34.0144,71.5675,Pakistan,1970042
Lu'an,31.7542,116.5078,China,1968766
Sapporo,43.0619,141.3544,Japan,1959313
Valencia,10.1667,-68,Venezuela,1958724
Xining,36.6239,101.7787,China,1954795
Orlando,28.4773,-81.337,United States,1948155
Austin,30.3005,-97.7522,United States,1940039
Nanchong,30.7991,106.0784,China,1936534
Zhanjiang,21.1967,110.4031,China,1931455
Songjiang,31.0152,121.2291,China,1909713
Imaichi,36.7199,139.6982,Japan,1897649
Abhepur,30.6667,76.8333,India,1895686
Nyabira,-17.6667,30.8,Zimbabwe,1893584
Gumanwala,29.9333,77.9,India,1890422
Thane,19.18,72.9633,India,1886941
Qinhuangdao,39.9398,119.5881,China,1881047
Multan,30.1978,71.4711,Pakistan,1871843
Port Harcourt,4.7655,7.0163,Nigeria,1865000
Guozhen,34.3659,107.359,China,1862118
Shangqiu,34.4259,115.6467,China,1859723
Jining,35.4,116.5667,China,1859406
Dazhou,31.2152,107.4947,China,1850869
San Jose,37.3012,-121.848,United States,1827643
San Juan,18.3985,-66.061,Puerto Rico,1813477
Bhopal,23.25,77.4167,India,1798218
Mosul,36.3667,43.1167,Iraq,1792000
Montevideo,-34.9059,-56.1913,Uruguay,1788170
Lubumbashi,-11.6642,27.4828,Congo (Kinshasa),1786397
Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia,1786386
Accra,5.556,-0.1969,Ghana,1782150
Benin City,6.3176,5.6145,Nigeria,1780000
Curitiba,-25.4297,-49.2719,Brazil,1773718
Shuyangzha,34.1,118.7333,China,1770000
Indianapolis,39.7771,-86.1458,United States,1767321
Suzhou,33.6333,116.9683,China,1766285
Quito,-0.22,-78.5125,Ecuador,1763275
Agra,27.18,78.02,India,1760285
Daqing,46.5979,125.008,China,1754655
Chaozhou,23.67,116.63,China,1750945
Peyanvilai,8.5674,78.1046,India,1750176
Qingyuan,23.6842,113.0507,China,1738424
Huanglongsi,34.795,114.345,China,1735581
Tai'an,36.2001,117.0809,China,1735425
Hyderabad City,25.3792,68.3683,Pakistan,1732693
Pittsburgh,40.4397,-79.9763,United States,1729616
Pimpri-Chinchwad,18.6278,73.8131,India,1729320
Quanzhou,24.9139,118.5858,China,1728386
Weihai,37.5,122.1,China,1728259
Cincinnati,39.1413,-84.506,United States,1726642
Guilin,25.2819,110.2864,China,1725865
Masqat,23.614,58.5911,Oman,1720000
Lyon,45.7675,4.835,France,1716050
Kansas City,39.1238,-94.5541,United States,1714910
Caloocan City,14.65,120.9667,Philippines,1712945
Longyan,25.0881,117.0244,China,1712623
Cordoba,-31.4167,-64.1833,Argentina,1705741
Guigang,23.1144,109.5944,China,1700978
Harbatpur,30.45,77.73,India,1696694
Saundhonwali,30.3331,77.9608,India,1696694
Cleveland,41.4764,-81.6805,United States,1695555
Manhattan,40.7834,-73.9662,United States,1694263
Banane,0.5,38.67,Kenya,1691000
Changzhi,36.1953,113.097,China,1687952
Kampala,0.3136,32.5811,Uganda,1680600
Sanzhou,30.7458,108.431,China,1680000
Jingdezhen,29.2942,117.2036,China,1673200
Conakry,9.5092,-13.7122,Guinea,1667864
Yangzhou,32.3912,119.4363,China,1665000
Ximeicun,24.9878,118.3858,China,1663542
Ecatepec,19.5991,-99.0492,Mexico,1655015
Yushan,31.3867,120.9766,China,1652159
Sangereng,-6.2889,106.7181,Indonesia,1644899
Novosibirsk,55.0333,82.9167,Russia,1637266
Marseille,43.2967,5.3764,France,1635154
Columbus,39.9862,-82.9855,United States,1635039
Suqian,33.9331,118.2831,China,1622912
Semarang,-6.99,110.4225,Indonesia,1621384
Ludhiana,30.9083,75.8486,India,1618879
Balandougou,13.3558,-9.5517,Mali,1596882
Luzhou,28.8918,105.4409,China,1596119
Jiangyin,31.9087,120.2653,China,1595138
Valencia,39.47,-0.3764,Spain,1595000
Wenzhou,27.9991,120.6561,China,1588700
Leon de los Aldama,21.1219,-101.6833,Mexico,1579803
Puebla,19.0413,-98.2062,Mexico,1576259
Chengtangcun,35.0833,117.15,China,1574648
Sanming,26.2658,117.6302,China,1571500
Meerut,28.98,77.7064,India,1571434
Yopougon,5.3347,-4.07,Côte d’Ivoire,1571065
Abu Dhabi,24.4511,54.3969,United Arab Emirates,1570000
Shiraz,29.61,52.5425,Iran,1565572
Huainan,32.4831,117.0164,China,1561636
Madurai,9.9197,78.1194,India,1561129
Harare,-17.8292,31.0522,Zimbabwe,1558823
Tabriz,38.0739,46.2961,Iran,1558693
Zhaoqing,23.05,112.4667,China,1553109
Maracaibo,10.6333,-71.6333,Venezuela,1551539
Rizhao,35.4164,119.4331,China,1551513
Anshan,41.1066,122.9895,China,1543696
San Jose,9.9327,-84.0796,Costa Rica,1543000
San Salvador,13.6976,-89.1912,El Salvador,1538525
Kawasaki,35.5308,139.703,Japan,1538262
Bozhou,33.8626,115.7742,China,1537231
Palembang,-2.9833,104.7644,Indonesia,1535952
Dublin,53.3497,-6.2603,Ireland,1534900
Ad Dammam,26.4333,50.1,Saudi Arabia,1532326
Sofia,42.6979,23.3217,Bulgaria,1531867
Kobe,34.6902,135.1954,Japan,1521707
Kigali,-1.9525,30.115,Rwanda,1518632
Guiping,23.4,110.0833,China,1511011
Lianjiang,21.6146,110.2794,China,1509400
Jianguang,28.1958,115.7833,China,1507402
Yucheng,29.9888,103.0007,China,1507258
Dusseldorf,51.2256,6.7767,Germany,1500000
Nneyi-Umuleri,6.295,6.8988,Nigeria,1500000
Aguleri,6.3333,6.8833,Nigeria,1500000
Niamey,13.515,2.1175,Niger,1496260
Leizhou,20.9147,110.0806,China,1494700
Gwangju,35.1667,126.9167,"Korea, South",1490092
Katako-Kombe,-3.4,24.42,Congo (Kinshasa),1488922
Recife,-8.0539,-34.8808,Brazil,1488920
Charlotte,35.2083,-80.8303,United States,1488249
Fuzhou,27.9814,116.3577,China,1486267
Nasik,20,73.7833,India,1486053
Onitsha,6.1667,6.7833,Nigeria,1483000
Amsterdam,52.3667,4.8833,Netherlands,1477213
Daejeon,36.35,127.385,"Korea, South",1475221
Bronx,40.8501,-73.8662,United States,1472654
Auckland,-36.8492,174.7653,New Zealand,1470100
Changde,29.0397,111.6839,China,1469055
Yekaterinburg,56.8356,60.6128,Russia,1468833
Chifeng,42.255,118.8825,China,1460381
Nouakchott,18.0858,-15.9785,Mauritania,1446761
Virginia Beach,36.7335,-76.0435,United States,1441893
Dakar,14.6726,-17.432,Senegal,1438725
Tongliao,43.6172,122.264,China,1437489
Goiania,-16.6806,-49.2564,Brazil,1437366
Shengli,37.45,118.4667,China,1433587
Qujing,25.5102,103.8029,China,1432500
Yangshe,31.8775,120.5512,China,1432044
Kyoto,35.0111,135.7669,Japan,1431419
Shiyan,32.6351,110.7755,China,1428629
Guyuan,36.008,106.2782,China,1426000
Muscat,23.6139,58.5922,Oman,1421409
Kharkiv,49.9925,36.2311,Ukraine,1421125
Pointe-Noire,-4.7975,11.8503,Congo (Brazzaville),1420612
Xinyang,32.1264,114.0672,China,1416800
Gaozhou,21.9135,110.8481,China,1414100
Medina,24.47,39.61,Saudi Arabia,1411599
Qiqihar,47.3398,123.9512,China,1406987
Faridabad,28.4167,77.3,India,1404653
Qinzhou,21.95,108.6167,China,1400134
Prague,50.0875,14.4214,Czechia,1397880
Copenhagen,55.6761,12.5689,Denmark,1396508
Ulaanbaatar,47.9214,106.9055,Mongolia,1396288
Porto,41.15,-8.6108,Portugal,1389593
Porto Alegre,-30.0328,-51.23,Brazil,1388794
Mombasa,-4.05,39.6667,Kenya,1388449
Tel Aviv,32.08,34.78,Israel,1388400
Adelaide,-34.9275,138.6,Australia,1387290
Baicheng,23.901,106.6194,China,1383400
Nuremberg,49.4539,11.0775,Germany,1374524
Yutan,28.3147,112.554,China,1368117
Madarpur,26.227,84.6746,India,1367765
Najafgarh,28.6125,76.9847,India,1365152
Hengyang,26.8968,112.5857,China,1361085
Helsinki,60.1708,24.9375,Finland,1360075
Milan,45.4669,9.19,Italy,1354196
Khamis Mushayt,18.3,42.7333,Saudi Arabia,1353000
Heze,35.2333,115.4333,China,1346717
Santiago,19.45,-70.7,Dominican Republic,1343423
Abobo,5.4189,-4.0206,Côte d’Ivoire,1340083
Makassar,-5.1331,119.4136,Indonesia,1338663
Xintai,35.91,117.78,China,1338254
Bengbu,32.9354,117.3531,China,1336093
Liangshi,27.2578,111.7351,China,1335900
Jacksonville,30.3322,-81.6749,United States,1335714
Yueyang,29.3647,113.1309,China,1335692
Kazan,55.7908,49.1144,Russia,1329825
Luohe,33.583,114.0109,China,1326687
Barranquilla,10.9833,-74.8019,Colombia,1326588
Al Basrah,30.515,47.81,Iraq,1326564
Denpasar,-8.6717,115.2339,Indonesia,1326000
Saitama,35.8614,139.6456,Japan,1325843
Ahvaz,31.3189,48.6842,Iran,1325000
Iwatsuki,35.9508,139.6994,Japan,1324854
Guarulhos,-23.4667,-46.5333,Brazil,1324781
Kotla Qasim Khan,32.6806,73.9333,Pakistan,1324264
Fushun,41.8708,123.8917,China,1322098
Juarez,31.6685,-106.42,Mexico,1321004
Mandalay,21.9747,96.0836,Burma,1319452
Wusong,30.95,117.7833,China,1311726
Taguig City,14.5167,121.05,Philippines,1308085
Calgary,51.05,-114.0667,Canada,1306784
Bijie,27.3019,105.2863,China,1305066
Belem,-1.4558,-48.5039,Brazil,1303403
Huazhou,21.654,110.6294,China,1302100
Belgrade,44.8178,20.4569,Serbia,1298661
Zigong,29.3498,104.7645,China,1297695
Yangjiang,21.8556,111.9627,China,1292987
Providence,41.823,-71.4187,United States,1292041
Milwaukee,43.0642,-87.9675,United States,1291752
Jiangmen,22.5833,113.0833,China,1289800
Heihe,50.2431,127.506,China,1286401
Yicheng,31.3697,119.8239,China,1285785
Pekanbaru,0.5333,101.45,Indonesia,1285353
Canagatan,18,121.8,Philippines,1284676
Tangier,35.7767,-5.8039,Morocco,1275428
Soweto,-26.2678,27.8586,South Africa,1271628
Jabalpur,23.1667,79.9333,India,1267564
Zhenjiang,32.2109,119.4551,China,1266790
Jiangguanchi,34.0244,113.8201,China,1265536
Huaiyin,33.5886,119.0192,China,1264000
Madanpur,29.326,79.1537,India,1260078
Kamalwaganja Gaur,29.2117,79.4654,India,1260078
Zapopan,20.7208,-103.3911,Mexico,1257547
Bagam,1.0299,104.095,Indonesia,1256610
Yongcheng,33.9317,116.4459,China,1256409
Brussels,50.8333,4.3333,Belgium,1249597
Laiwu,36.1833,117.6667,China,1248636
Sharjah,25.3375,55.4119,United Arab Emirates,1247749
Kalyan,19.25,73.15,India,1246381
Ankang,32.6877,109.0235,China,1244784
Asansol,23.6833,86.9667,India,1243414
Rucheng,32.3852,120.5634,China,1238448
Leshan,29.5854,103.7575,China,1236188
Suwon,37.2858,127.01,"Korea, South",1234300
Davao,7.0662,125.6094,Philippines,1232958
Meishan,30.0575,103.8381,China,1232648
Changshu,31.65,120.7333,China,1230599
Vijayawada ,16.5167,80.6167,India,1230000
Liaocheng,36.45,115.9833,China,1229768
Hargeysa,9.5656,44.0606,Somalia,1227620
Yulin,22.6293,110.1507,China,1226830
Vasai-Virar,19.47,72.8,India,1221233
Qincheng,34.5809,105.7311,China,1212791
Lingcheng,22.7,110.35,China,1211637
Tainan,22.99,120.185,Taiwan,1205000
Nashville,36.1715,-86.7842,United States,1201962
Qom,34.64,50.8764,Iran,1201158
Baidoa,3.1167,43.65,Somalia,1200000
Zhangye,38.9355,100.4553,China,1199515
Tegucigalpa,14.1058,-87.2047,Honduras,1199136
Comayaguela,14.0982,-87.2072,Honduras,1199136
Varanasi,25.3189,83.0128,India,1198491
Nizhniy Novgorod,56.3269,44.0075,Russia,1198245
Hiroshima,34.3914,132.4519,Japan,1198021
Chiang Mai,18.7889,98.9833,Thailand,1198000
Maiduguri,11.8333,13.15,Nigeria,1197497
Kalleli,9.2,76.8833,India,1197412
Batam Centre,1.13,104.0531,Indonesia,1196396
Rosario,-32.9575,-60.6394,Argentina,1193605
Shymkent,42.3,69.6,Kazakhstan,1191877
Bishkek,42.8667,74.5667,Kyrgyzstan,1191000
Kingston,17.9714,-76.7931,Jamaica,1190000
Rongcheng,26.2312,104.0966,China,1189813
Binzhou,37.3806,118.0125,China,1188597
Doha,25.2861,51.5294,Qatar,1186023
